generator_model,index_type,if_rerank,rerank_type,chunking_strategy,fixed_length,overlap_size,k,temperature,measure_method,true_percentage,n
mistral-large-latest,IVF,Y,hybrid,sentence,N,2,5,0.3,transformer_match,54.12844036697248,
mistral-large-latest,brute_force,Y,hybrid,sentence,N,2,5,0.3,transformer_match,75.22935779816514,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,5,0.3,transformer_match,76.14678899082568,
mistral-large-latest,HNSW,N,hybrid,sentence,,2,5,0.3,transformer_match,74.31192660550458,
mistral-large-latest,HNSW,N,hybrid,sentence,,4,5,0.3,transformer_match,75.22935779816514,
mistral-large-latest,HNSW,N,hybrid,fixed-length,50.0,3,5,0.3,transformer_match,54.12844036697248,
mistral-large-latest,HNSW,N,hybrid,fixed-length,100.0,2,5,0.3,transformer_match,61.46788990825688,
mistral-large-latest,HNSW,N,hybrid,fixed-length,150.0,1,5,0.3,transformer_match,63.30275229357798,
mistral-large-latest,HNSW,Y,cross_encoder,sentence,N,2,5,0.3,transformer_match,72.47706422018348,
mistral-large-latest,HNSW,Y,tfidf,sentence,N,2,5,0.3,transformer_match,75.22935779816514,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,5,0.3,transformer_match,73.39449541284404,
mistral-large-latest,HNSW,Y,sequential,sentence,N,2,5,0.3,transformer_match,75.22935779816514,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,5,0.15,transformer_match,75.22935779816514,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,5,0.3,transformer_match,75.22935779816514,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,5,0.5,transformer_match,74.31192660550458,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,5,0.7,transformer_match,74.31192660550458,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,5,0.85,transformer_match,75.22935779816514,
mistral-large-latest,HNSW,N,hybrid,sentence,N,2,1,0.1,transformer_match,64.22018348623854,
mistral-large-latest,HNSW,N,hybrid,sentence,N,2,1,0.2,transformer_match,63.30275229357798,
mistral-large-latest,HNSW,N,hybrid,sentence,N,2,1,0.3,transformer_match,62.38532110091744,
mistral-large-latest,HNSW,N,hybrid,sentence,N,2,1,0.4,transformer_match,63.30275229357798,
mistral-large-latest,HNSW,N,hybrid,sentence,N,2,1,0.5,transformer_match,61.46788990825688,
mistral-large-latest,HNSW,N,hybrid,sentence,N,2,1,0.6,transformer_match,64.22018348623854,
mistral-large-latest,HNSW,N,hybrid,sentence,N,2,1,0.7,transformer_match,61.46788990825688,
mistral-large-latest,HNSW,N,hybrid,sentence,N,2,1,0.8,transformer_match,61.46788990825688,
mistral-large-latest,HNSW,N,hybrid,sentence,N,2,1,0.9,transformer_match,62.38532110091744,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,5,0.6,transformer_match,74.31192660550458,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,10,0.6,transformer_match,72.47706422018348,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,20,0.6,transformer_match,75.22935779816514,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,30,0.6,transformer_match,74.31192660550458,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,40,0.6,transformer_match,75.22935779816514,
mistral-large-latest,HNSW,Y,tfidf_corpus,sentence,N,2,20,0.6,transformer_match,70.64220183486239,
mistral-large-latest,HNSW,Y,cross_encoder,sentence,N,2,20,0.6,transformer_match,76.14678899082568,
mistral-large-latest,HNSW,Y,tfidf,sentence,N,2,20,0.6,transformer_match,74.31192660550458,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,20,0.6,transformer_match,72.47706422018348,
mistral-large-latest,HNSW,Y,sequential,sentence,N,2,20,0.6,transformer_match,74.31192660550458,
mistral-large-latest,HNSW,N,cross_encoder,sentence,N,2,20,0.6,transformer_match,73.39449541284404,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,50,0.6,transformer_match,75.22935779816514,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,60,0.6,transformer_match,74.31192660550458,
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,40,0.6,transformer_match,75.22935779816514,1.0
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,40,0.6,transformer_match,73.39449541284404,3.0
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,40,0.6,transformer_match,74.31192660550458,5.0
mistral-large-latest,HNSW,Y,hybrid,sentence,N,2,40,0.6,transformer_match,75.22935779816514,10.0
